time	V(cmirror)	V(p001)	V(p002)	V(vdd)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)
1.117919921875000e-006	3.113055299081052e+000	2.358398437500000e-001	-2.358398437500000e-001	5.000000000000000e+000	1.507219256525100e+000	3.186116543684357e+000	4.865013830843614e+000	1.097886671926518e+000	1.764140156450001e+000	2.000000000000000e+000	2.000000000000000e+000	2.235819843949995e+000	3.110500000000000e+000	7.561654368435677e-001
1.120849609375000e-006	3.113054842762193e+000	2.416992187499999e-001	-2.416992187499999e-001	5.000000000000000e+000	1.498805545854114e+000	3.186022894378889e+000	4.873240242903663e+000	1.097767961017120e+000	1.758280781450002e+000	2.000000000000000e+000	2.000000000000000e+000	2.241679218949995e+000	3.110500000000000e+000	7.552289437888838e-001
1.121490478515625e-006	3.113054768244955e+000	2.429809570312499e-001	-2.429809570312499e-001	5.000000000000000e+000	1.497024355614234e+000	3.186002968221227e+000	4.874981580828218e+000	1.097730828224675e+000	1.756999043168751e+000	2.000000000000000e+000	2.000000000000000e+000	2.242960957231245e+000	3.110500000000000e+000	7.550296822122629e-001
1.121856689453125e-006	3.113054714742139e+000	2.437133789062501e-001	-2.437133789062501e-001	5.000000000000000e+000	1.496022950915223e+000	3.185991739315934e+000	4.875960527716645e+000	1.097706645625213e+000	1.756266621293751e+000	2.000000000000000e+000	2.000000000000000e+000	2.243693379106245e+000	3.110500000000000e+000	7.549173931593387e-001
1.123897007533482e-006	3.113054440427272e+000	2.477940150669642e-001	-2.477940150669642e-001	5.000000000000000e+000	1.490591328393940e+000	3.185930578332261e+000	4.881269828270581e+000	1.097543902979858e+000	1.752185985133037e+000	2.000000000000000e+000	2.000000000000000e+000	2.247774015266959e+000	3.110500000000000e+000	7.543057833226051e-001
1.125937325613839e-006	3.113054176837930e+000	2.518746512276787e-001	-2.518746512276787e-001	5.000000000000000e+000	1.485296170532610e+000	3.185870743042456e+000	4.886445315552302e+000	1.097363564247493e+000	1.748105348972323e+000	2.000000000000000e+000	2.000000000000000e+000	2.251854651427673e+000	3.110500000000000e+000	7.537074304245570e-001
1.127977643694196e-006	3.113053923974113e+000	2.559552873883928e-001	-2.559552873883928e-001	5.000000000000000e+000	1.480137477331232e+000	3.185812233446520e+000	4.891486989561806e+000	1.097165629428118e+000	1.744024712811609e+000	2.000000000000000e+000	2.000000000000000e+000	2.255935287588387e+000	3.110500000000000e+000	7.531223344651943e-001
1.130017961774554e-006	3.113053681835821e+000	2.600359235491073e-001	-2.600359235491073e-001	5.000000000000000e+000	1.475115248789807e+000	3.185755049544452e+000	4.896394850299096e+000	1.096950098521734e+000	1.739944076650894e+000	2.000000000000000e+000	2.000000000000000e+000	2.260015923749102e+000	3.110500000000000e+000	7.525504954445170e-001
1.132058279854911e-006	3.113053450423056e+000	2.641165597098213e-001	-2.641165597098213e-001	5.000000000000000e+000	1.470229484908335e+000	3.185699191336253e+000	4.901168897764170e+000	1.096716971528340e+000	1.735863440490180e+000	2.000000000000000e+000	2.000000000000000e+000	2.264096559909816e+000	3.110500000000000e+000	7.519919133625251e-001
1.134098597935268e-006	3.113053229735815e+000	2.681971958705359e-001	-2.681971958705359e-001	5.000000000000000e+000	1.465480185686815e+000	3.185644658821922e+000	4.905809131957028e+000	1.096466248447936e+000	1.731782804329466e+000	2.000000000000000e+000	2.000000000000000e+000	2.268177196070530e+000	3.110500000000000e+000	7.514465882192187e-001
1.136138916015625e-006	3.113053019774100e+000	2.722778320312499e-001	-2.722778320312499e-001	5.000000000000000e+000	1.460867351125249e+000	3.185591452001460e+000	4.910315552877671e+000	1.096197929280523e+000	1.727702168168752e+000	2.000000000000000e+000	2.000000000000000e+000	2.272257832231244e+000	3.110500000000000e+000	7.509145200145978e-001
1.136299133300781e-006	3.113052993373485e+000	2.725982666015623e-001	-2.725982666015623e-001	5.000000000000000e+000	1.460512356449925e+000	3.185587347330500e+000	4.910662338211076e+000	1.096176621390177e+000	1.727381733598440e+000	2.000000000000000e+000	2.000000000000000e+000	2.272578266801557e+000	3.110500000000000e+000	7.508734733050048e-001
1.136390686035156e-006	3.113052981442469e+000	2.727813720703126e-001	-2.727813720703126e-001	5.000000000000000e+000	1.460310111699464e+000	3.185585007562926e+000	4.910859903426387e+000	1.096164406584677e+000	1.727198628129689e+000	2.000000000000000e+000	2.000000000000000e+000	2.272761372270307e+000	3.110500000000000e+000	7.508500756292582e-001
1.136573791503906e-006	3.113052962228754e+000	2.731475830078125e-001	-2.731475830078125e-001	5.000000000000000e+000	1.459906603064480e+000	3.185580337741266e+000	4.911254072418053e+000	1.096139911293986e+000	1.726832417192189e+000	2.000000000000000e+000	2.000000000000000e+000	2.273127583207807e+000	3.110500000000000e+000	7.508033774126608e-001
