time	V(p001)
0.000000000000000e+000	0.000000e+000
1.919468748189955e-006	0.000000e+000
1.951171875000000e-006	0.000000e+000
1.952171875000000e-006	0.000000e+000
1.954171875000000e-006	0.000000e+000
1.958171875000000e-006	0.000000e+000
1.966171875000000e-006	0.000000e+000
1.984400390625000e-006	0.000000e+000
1.988857421875000e-006	0.000000e+000
1.991085937500000e-006	0.000000e+000
1.995542968749999e-006	0.000000e+000
1.996542968749999e-006	0.000000e+000
1.998000000000000e-006	0.000000e+000
1.999000000000000e-006	0.000000e+000
2.000000000000000e-006	0.000000e+000
2.000015771818855e-006	-6.308727e-003
2.000047315456565e-006	-1.892618e-002
2.000110402731986e-006	-4.416109e-002
2.000235751249071e-006	-9.430050e-002
2.000369311925592e-006	-1.477248e-001
2.000494957195423e-006	-1.979829e-001
2.000629922147706e-006	-2.519689e-001
2.000778844910815e-006	-3.115380e-001
2.001000000000000e-006	-4.000000e-001
2.001008737808249e-006	-4.000000e-001
2.001026213424747e-006	-4.000000e-001
2.001061164657741e-006	-4.000000e-001
2.001131067123732e-006	-4.000000e-001
2.001202061847067e-006	-4.000000e-001
2.001334921773016e-006	-4.000000e-001
2.001498418779609e-006	-4.000000e-001
2.001825412792797e-006	-4.000000e-001
2.002176895548522e-006	-4.000000e-001
2.002629712922015e-006	-4.000000e-001
2.003116924971443e-006	-4.000000e-001
2.003800895030056e-006	-4.000000e-001
2.004660250418038e-006	-4.000000e-001
2.006124415993857e-006	-4.000000e-001
2.007918677842658e-006	-4.000000e-001
2.010088979981844e-006	-4.000000e-001
2.013071528907801e-006	-4.000000e-001
2.013630912757655e-006	-4.000000e-001
2.014749680457365e-006	-4.000000e-001
2.016987215856783e-006	-4.000000e-001
2.021462286655619e-006	-4.000000e-001
2.028682365197546e-006	-4.000000e-001
2.036573751628735e-006	-4.000000e-001
2.045435920826019e-006	-4.000000e-001
2.055673645318701e-006	-4.000000e-001
2.065878624828169e-006	-4.000000e-001
2.075939058184263e-006	-4.000000e-001
2.088560404864586e-006	-4.000000e-001
2.100717599291127e-006	-4.000000e-001
2.102972770321606e-006	-4.000000e-001
2.107483112382563e-006	-4.000000e-001
2.116503796504476e-006	-4.000000e-001
2.134545164748303e-006	-4.000000e-001
2.151486796144641e-006	-4.000000e-001
2.153733373988616e-006	-4.000000e-001
2.158226529676567e-006	-4.000000e-001
2.167212841052469e-006	-4.000000e-001
2.185185463804273e-006	-4.000000e-001
2.205288607622560e-006	-4.000000e-001
2.205716713181295e-006	-4.000000e-001
2.206572924298765e-006	-4.000000e-001
2.208285346533705e-006	-4.000000e-001
2.211710191003586e-006	-4.000000e-001
2.218559879943347e-006	-4.000000e-001
2.224626471418964e-006	-4.000000e-001
2.232220212436327e-006	-4.000000e-001
2.239897625234572e-006	-4.000000e-001
